complaint,priority
Please report: wastewater is accumulated in the corridor on my floor.,High
Kindly note: overflowing garbage bin is attracting insects and pests.,High
Please report: mold is spreading rapidly on the bathroom ceiling in the hostel block.,High
Reporting an issue: rotten food waste has been left uncollected for days in my room.,High
Complaint: rotten food waste has been left uncollected for days in my room.,High
Reporting an issue: large amount of garbage is blocking the hostel entrance in my room.,High
Please report: drainage water is stagnant and smelling badly near the room in my room.,High
Reporting an issue: common washroom is severely unhygienic and unusable.,High
Complaint: sewage smell is spreading through the hostel floor in my room.,High
Reporting an issue: bathroom tiles have visible stains in the hostel block.,Medium
Complaint: bathroom tiles have visible stains near my room.,Medium
Please report: study table has not been dusted in a while.,Medium
Please report: room cleaning has not been done on my floor.,Medium
Please report: common area floor is sticky and unclean in the hostel block.,Medium
Complaint: corridor needs immediate cleaning in the hostel block.,Medium
Reporting an issue: washroom floor is very dirty.,Medium
Reporting an issue: windows are covered in dust and grime.,Medium
Complaint: dustbin has not been emptied in days.,Medium
Common area floor is sticky and unclean near my room.,Medium
Windows are covered in dust and grime near my room.,Medium
Please report: dustbin has not been emptied in days in the hostel block.,Medium
Please report: bathroom tiles have visible stains in the hostel block.,Medium
Please report: dustbin has not been emptied in days.,Medium
Reporting an issue: windows are covered in dust and grime on my floor.,Medium
Kindly note: corridor needs immediate cleaning on my floor.,Medium
Reporting an issue: common area floor is sticky and unclean.,Medium
Bathroom tiles have visible stains on my floor.,Medium
Please report: corridor needs immediate cleaning in my room.,Medium
Complaint: dustbin has not been emptied in days near my room.,Medium
Complaint: common area floor is sticky and unclean near my room.,Medium
Washroom floor is very dirty near my room.,Medium
Kindly note: common area floor is sticky and unclean near my room.,Medium
Reporting an issue: windows are covered in dust and grime.,Medium
Kindly note: study table has not been dusted in a while.,Medium
Please report: bathroom tiles have visible stains near my room.,Medium
Kindly note: study table has not been dusted in a while on my floor.,Medium
Reporting an issue: windows are covered in dust and grime in the hostel block.,Medium
Kindly note: study table has not been dusted in a while.,Medium
Complaint: washroom floor is very dirty.,Medium
Complaint: corridor needs immediate cleaning near my room.,Medium
Please report: bathroom tiles have visible stains in my room.,Medium
Kindly note: corridor needs immediate cleaning.,Medium
Common area floor is sticky and unclean on my floor.,Medium
Complaint: room cleaning has not been done on my floor.,Medium
Bathroom tiles have visible stains.,Medium
Complaint: dustbin has not been emptied in days.,Medium
Reporting an issue: dustbin has not been emptied in days near my room.,Medium
Kindly note: room cleaning has not been done.,Medium
Complaint: corridor needs immediate cleaning.,Medium
Bathroom tiles have visible stains.,Medium
Kindly note: windows are covered in dust and grime on my floor.,Medium
Please report: bathroom tiles have visible stains in my room.,Medium
Reporting an issue: room cleaning has not been done in my room.,Medium
Please report: windows are covered in dust and grime in my room.,Medium
Please report: study table has not been dusted in a while.,Medium
Corridor needs immediate cleaning in the hostel block.,Medium
Complaint: windows are covered in dust and grime on my floor.,Medium
Kindly note: dustbin has not been emptied in days.,Medium
Common area floor is sticky and unclean on my floor.,Medium
Complaint: dustbin has not been emptied in days on my floor.,Medium
Complaint: dustbin has not been emptied in days near my room.,Medium
Complaint: dustbin has not been emptied in days in the hostel block.,Medium
Kindly note: room cleaning has not been done on my floor.,Medium
Reporting an issue: bathroom tiles have visible stains near my room.,Medium
Complaint: corridor needs immediate cleaning.,Medium
Washroom floor is very dirty on my floor.,Medium
Room cleaning has not been done near my room.,Medium
Reporting an issue: common area floor is sticky and unclean near my room.,Medium
Bathroom tiles have visible stains in the hostel block.,Medium
Kindly note: please clean the hostel window.,Low
Reporting an issue: need regular room cleaning in my room.,Low
Complaint: need extra cleaning supplies for the room in the hostel block.,Low
Complaint: corridor floor could use a quick sweep in my room.,Low
Need a fresh doormat near my room.,Low
Reporting an issue: need a new mop for the bathroom in the hostel block.,Low
Please report: corridor floor could use a quick sweep.,Low
Please clean the hostel window in my room.,Low
Reporting an issue: need extra cleaning supplies for the room in the hostel block.,Low
Kindly note: please clean the hostel window in my room.,Low
Need regular room cleaning on my floor.,Low
Reporting an issue: corridor floor could use a quick sweep.,Low
Complaint: need regular room cleaning near my room.,Low
Need extra cleaning supplies for the room near my room.,Low
Kindly note: please clean the hostel window in my room.,Low
Reporting an issue: need regular room cleaning.,Low
Need a new waste bin.,Low
Complaint: need a new waste bin on my floor.,Low
Please report: please clean the hostel window.,Low
Please report: room could use a light dusting on my floor.,Low
Kindly note: room could use a light dusting on my floor.,Low
Need extra cleaning supplies for the room in the hostel block.,Low
Please report: please clean the hostel window in the hostel block.,Low
Room could use a light dusting near my room.,Low
Kindly note: corridor floor could use a quick sweep.,Low
Need a new mop for the bathroom on my floor.,Low
Reporting an issue: corridor floor could use a quick sweep on my floor.,Low
Complaint: need a fresh doormat on my floor.,Low
Please report: need a new mop for the bathroom in the hostel block.,Low
Please clean the hostel window near my room.,Low
Reporting an issue: need a fresh doormat on my floor.,Low
Need extra cleaning supplies for the room near my room.,Low
Please report: need regular room cleaning in the hostel block.,Low
Complaint: room could use a light dusting.,Low
Corridor floor could use a quick sweep.,Low
Kindly note: room could use a light dusting near my room.,Low
Reporting an issue: need regular room cleaning in my room.,Low
Reporting an issue: need regular room cleaning in the hostel block.,Low
Please report: room could use a light dusting in my room.,Low
Kindly note: corridor floor could use a quick sweep near my room.,Low
Complaint: need extra cleaning supplies for the room on my floor.,Low
Please report: need regular room cleaning in my room.,Low
Please report: need regular room cleaning.,Low
Complaint: need a new mop for the bathroom on my floor.,Low
Reporting an issue: need regular room cleaning on my floor.,Low
Kindly note: need a new mop for the bathroom near my room.,Low
Need regular room cleaning in my room.,Low
Please report: need a new waste bin on my floor.,Low
Please report: need regular room cleaning on my floor.,Low
Kindly note: need a new waste bin on my floor.,Low
Complaint: need a new waste bin near my room.,Low
Need a fresh doormat near my room.,Low
Please clean the hostel window.,Low
Please report: need a fresh doormat in my room.,Low
Need extra cleaning supplies for the room in the hostel block.,Low
Corridor floor could use a quick sweep.,Low
Complaint: need a fresh doormat in my room.,Low
Need extra cleaning supplies for the room.,Low
Please report: need a new waste bin in the hostel block.,Low
Complaint: room could use a light dusting.,Low
Please report: unknown person was seen loitering near the hostel entrance on my floor.,High
Kindly note: emergency exit is blocked on my floor.,High
Emergency exit is blocked in the hostel block.,High
Kindly note: gas leakage smell is coming from the hostel kitchen near my room.,High
Smoke detector in the corridor is beeping continuously.,High
Please report: unknown person was seen loitering near the hostel entrance near my room.,High
Reporting an issue: gas leakage smell is coming from the hostel kitchen.,High
Complaint: security gate has been left unlocked overnight in the hostel block.,High
Reporting an issue: security gate has been left unlocked overnight in the hostel block.,High
Kindly note: unknown person was seen loitering near the hostel entrance in my room.,High
Reporting an issue: security gate has been left unlocked overnight in my room.,High
Fire extinguisher in the corridor is missing near my room.,High
Reporting an issue: security gate has been left unlocked overnight in my room.,High
Please report: smoke is coming from an electrical appliance in my room.,High
Please report: fire alarm is not working during an emergency test in the hostel block.,High
Please report: security gate has been left unlocked overnight in my room.,High
Kindly note: security gate has been left unlocked overnight in the hostel block.,High
Reporting an issue: security gate has been left unlocked overnight in the hostel block.,High
Complaint: gas leakage smell is coming from the hostel kitchen in the hostel block.,High
Complaint: emergency exit is blocked.,High
Please report: fire alarm is not working during an emergency test in the hostel block.,High
Reporting an issue: fire alarm is not working during an emergency test near my room.,High
Reporting an issue: security gate has been left unlocked overnight in my room.,High
Please report: security gate has been left unlocked overnight on my floor.,High
Please report: fire alarm is not working during an emergency test in the hostel block.,High
Reporting an issue: smoke is coming from an electrical appliance on my floor.,High
Complaint: security gate has been left unlocked overnight in the hostel block.,High
Kindly note: security gate has been left unlocked overnight on my floor.,High
Complaint: emergency exit is blocked near my room.,High
Reporting an issue: emergency exit is blocked in the hostel block.,High
Reporting an issue: gas leakage smell is coming from the hostel kitchen in my room.,High
Kindly note: fire extinguisher in the corridor is missing in my room.,High
Reporting an issue: fire alarm is not working during an emergency test near my room.,High
Please report: fire alarm is not working during an emergency test in the hostel block.,High
Reporting an issue: gas leakage smell is coming from the hostel kitchen.,High
Kindly note: emergency exit is blocked.,High
Kindly note: security gate has been left unlocked overnight in my room.,High
Complaint: security gate has been left unlocked overnight.,High
Please report: gas leakage smell is coming from the hostel kitchen.,High
Fire extinguisher in the corridor is missing.,High
Complaint: unknown person was seen loitering near the hostel entrance near my room.,High
Complaint: unknown person was seen loitering near the hostel entrance near my room.,High
Unknown person was seen loitering near the hostel entrance near my room.,High
Please report: gas leakage smell is coming from the hostel kitchen near my room.,High
Kindly note: fire alarm is not working during an emergency test.,High
Fire extinguisher in the corridor is missing.,High
Complaint: emergency exit is blocked in my room.,High
Kindly note: smoke is coming from an electrical appliance in the hostel block.,High
Smoke detector in the corridor is beeping continuously near my room.,High
Please report: unknown person was seen loitering near the hostel entrance.,High
Please report: security gate has been left unlocked overnight in my room.,High
Kindly note: fire extinguisher in the corridor is missing on my floor.,High
Smoke is coming from an electrical appliance near my room.,High
Please report: smoke detector in the corridor is beeping continuously.,High
Complaint: fire alarm is not working during an emergency test.,High
Please report: smoke detector in the corridor is beeping continuously.,High
Please report: gas leakage smell is coming from the hostel kitchen on my floor.,High
Smoke detector in the corridor is beeping continuously on my floor.,High
Complaint: smoke detector in the corridor is beeping continuously on my floor.,High
Please report: unknown person was seen loitering near the hostel entrance on my floor.,High
Please report: corridor emergency exit sign is not lit near my room.,Medium
Complaint: fire extinguisher tag has expired near my room.,Medium
Kindly note: cCTV camera is not working in the hostel block.,Medium
Emergency light is not working.,Medium
Reporting an issue: security guard was not present at the night shift in my room.,Medium
Complaint: security gate lock is damaged in the hostel block.,Medium
Reporting an issue: main gate latch is loose in my room.,Medium
Fire extinguisher tag has expired near my room.,Medium
Emergency light is not working near my room.,Medium
Please report: emergency light is not working in my room.,Medium
Complaint: security gate lock is damaged.,Medium
Please report: cCTV camera is not working in the hostel block.,Medium
Corridor emergency exit sign is not lit.,Medium
Reporting an issue: security guard was not present at the night shift on my floor.,Medium
Main gate latch is loose in the hostel block.,Medium
Security guard was not present at the night shift near my room.,Medium
Reporting an issue: emergency light is not working in the hostel block.,Medium
Staircase light is not working in the hostel block.,Medium
Reporting an issue: fire extinguisher tag has expired on my floor.,Medium
Complaint: fire extinguisher tag has expired near my room.,Medium
Main gate latch is loose in my room.,Medium
Please report: security guard was not present at the night shift in the hostel block.,Medium
Security guard was not present at the night shift near my room.,Medium
CCTV camera is not working near my room.,Medium
Corridor emergency exit sign is not lit on my floor.,Medium
Kindly note: fire extinguisher tag has expired near my room.,Medium
Please report: cCTV camera is not working on my floor.,Medium
Kindly note: corridor emergency exit sign is not lit near my room.,Medium
Please report: staircase light is not working near my room.,Medium
Complaint: security guard was not present at the night shift in the hostel block.,Medium
Reporting an issue: security gate lock is damaged in my room.,Medium
Reporting an issue: fire extinguisher tag has expired near my room.,Medium
Please report: security gate lock is damaged in my room.,Medium
Please report: security gate lock is damaged.,Medium
Kindly note: security gate lock is damaged in my room.,Medium
Complaint: corridor emergency exit sign is not lit in the hostel block.,Medium
Staircase light is not working in my room.,Medium
Reporting an issue: main gate latch is loose near my room.,Medium
Reporting an issue: main gate latch is loose in the hostel block.,Medium
Please report: corridor emergency exit sign is not lit on my floor.,Medium
Fire extinguisher tag has expired near my room.,Medium
Reporting an issue: emergency light is not working in my room.,Medium
Please report: cCTV camera is not working on my floor.,Medium
Security gate lock is damaged near my room.,Medium
Reporting an issue: emergency light is not working.,Medium
Reporting an issue: fire extinguisher tag has expired on my floor.,Medium
Complaint: security guard was not present at the night shift on my floor.,Medium
Please report: fire extinguisher tag has expired near my room.,Medium
Reporting an issue: security guard was not present at the night shift.,Medium
Reporting an issue: corridor emergency exit sign is not lit in the hostel block.,Medium
Kindly note: fire extinguisher tag has expired.,Medium
Kindly note: staircase light is not working on my floor.,Medium
Kindly note: fire extinguisher tag has expired on my floor.,Medium
Reporting an issue: emergency light is not working in my room.,Medium
Kindly note: security guard was not present at the night shift in my room.,Medium
Kindly note: main gate latch is loose on my floor.,Medium
Complaint: security guard was not present at the night shift.,Medium
Kindly note: cCTV camera is not working in my room.,Medium
Kindly note: main gate latch is loose in the hostel block.,Medium
Reporting an issue: emergency light is not working in my room.,Medium
Complaint: safety instructions are not visible in the corridor in my room.,Low
Reporting an issue: emergency contact list needs to be updated on the noticeboard in my room.,Low
Emergency contact list needs to be updated on the noticeboard in my room.,Low
Kindly note: please replace a faded emergency sign near my room.,Low
Kindly note: need a clearer fire evacuation map on the wall in the hostel block.,Low
Handrail on the stairs feels slightly loose near my room.,Low
Reporting an issue: corridor signage is a bit faded in the hostel block.,Low
Complaint: safety instructions are not visible in the corridor in my room.,Low
Complaint: safety instructions are not visible in the corridor in the hostel block.,Low
Handrail on the stairs feels slightly loose in my room.,Low
Kindly note: please replace a faded emergency sign near my room.,Low
Please report: handrail on the stairs feels slightly loose on my floor.,Low
Corridor signage is a bit faded near my room.,Low
Please report: emergency contact list needs to be updated on the noticeboard on my floor.,Low
Complaint: safety instructions are not visible in the corridor on my floor.,Low
Please report: corridor signage is a bit faded in the hostel block.,Low
Handrail on the stairs feels slightly loose in my room.,Low
Complaint: handrail on the stairs feels slightly loose near my room.,Low
Complaint: handrail on the stairs feels slightly loose.,Low
Please report: need a nightlight near the staircase on my floor.,Low
Reporting an issue: need a clearer fire evacuation map on the wall in my room.,Low
Emergency contact list needs to be updated on the noticeboard in my room.,Low
Kindly note: emergency contact list needs to be updated on the noticeboard on my floor.,Low
Complaint: safety instructions are not visible in the corridor in the hostel block.,Low
Please report: need a clearer fire evacuation map on the wall.,Low
Kindly note: need a clearer fire evacuation map on the wall near my room.,Low
Reporting an issue: need a nightlight near the staircase on my floor.,Low
Please report: emergency contact list needs to be updated on the noticeboard on my floor.,Low
Please report: need a clearer fire evacuation map on the wall in my room.,Low
Please report: safety instructions are not visible in the corridor in my room.,Low
Please replace a faded emergency sign in the hostel block.,Low
Please replace a faded emergency sign on my floor.,Low
Kindly note: handrail on the stairs feels slightly loose in the hostel block.,Low
Reporting an issue: safety instructions are not visible in the corridor.,Low
Emergency contact list needs to be updated on the noticeboard.,Low
Complaint: handrail on the stairs feels slightly loose near my room.,Low
Kindly note: need a nightlight near the staircase near my room.,Low
Please replace a faded emergency sign on my floor.,Low
Emergency contact list needs to be updated on the noticeboard in the hostel block.,Low
Reporting an issue: need a nightlight near the staircase in my room.,Low
Corridor signage is a bit faded in the hostel block.,Low
Kindly note: safety instructions are not visible in the corridor.,Low
Please report: handrail on the stairs feels slightly loose in the hostel block.,Low
Kindly note: corridor signage is a bit faded in the hostel block.,Low
Complaint: need a clearer fire evacuation map on the wall on my floor.,Low
Reporting an issue: safety instructions are not visible in the corridor near my room.,Low
Complaint: emergency contact list needs to be updated on the noticeboard on my floor.,Low
Safety instructions are not visible in the corridor.,Low
Complaint: loft bed support beam is cracked in my room.,High
Loft bed support beam is cracked.,High
Please report: table has a sharp broken edge that could cause injury near my room.,High
Complaint: broken furniture is creating a safety hazard.,High
Wardrobe has collapsed and is blocking the room on my floor.,High
Kindly note: table has a sharp broken edge that could cause injury near my room.,High
Bed frame is broken and unsafe to sleep on.,High
Please report: table has a sharp broken edge that could cause injury on my floor.,High
Reporting an issue: study chair leg snapped while sitting on my floor.,High
Kindly note: broken furniture is creating a safety hazard in my room.,High
Complaint: study chair leg snapped while sitting near my room.,High
Complaint: study chair leg snapped while sitting near my room.,High
Please report: bed frame is broken and unsafe to sleep on.,High
Complaint: bed frame is broken and unsafe to sleep on in the hostel block.,High
Complaint: loft bed support beam is cracked in my room.,High
Kindly note: study chair leg snapped while sitting in the hostel block.,High
Please report: table has a sharp broken edge that could cause injury near my room.,High
Complaint: bed frame is broken and unsafe to sleep on near my room.,High
Kindly note: bed frame is broken and unsafe to sleep on on my floor.,High
Reporting an issue: table has a sharp broken edge that could cause injury in the hostel block.,High
Kindly note: wardrobe has collapsed and is blocking the room in the hostel block.,High
Reporting an issue: table has a sharp broken edge that could cause injury.,High
Please report: table has a sharp broken edge that could cause injury near my room.,High
Complaint: table has a sharp broken edge that could cause injury in my room.,High
Loft bed support beam is cracked.,High
Complaint: loft bed support beam is cracked near my room.,High
Complaint: bed frame is broken and unsafe to sleep on on my floor.,High
Kindly note: broken furniture is creating a safety hazard.,High
Reporting an issue: wardrobe has collapsed and is blocking the room near my room.,High
Wardrobe has collapsed and is blocking the room near my room.,High
Complaint: loft bed support beam is cracked.,High
Kindly note: study chair leg snapped while sitting.,High
Table has a sharp broken edge that could cause injury.,High
Study chair leg snapped while sitting in the hostel block.,High
Bed frame is broken and unsafe to sleep on in the hostel block.,High
Kindly note: table has a sharp broken edge that could cause injury in the hostel block.,High
Complaint: mattress is badly damaged on my floor.,Medium
Please report: chair leg is broken near my room.,Medium
Reporting an issue: bed frame is wobbly in the hostel block.,Medium
Kindly note: chair backrest is loose near my room.,Medium
Please report: chair leg is broken.,Medium
Kindly note: study table drawer is stuck in the hostel block.,Medium
Study table drawer is stuck.,Medium
Please report: wardrobe shelf has collapsed near my room.,Medium
Reporting an issue: study table drawer is stuck in my room.,Medium
Complaint: chair leg is broken in my room.,Medium
Kindly note: mattress is badly damaged.,Medium
Reporting an issue: chair leg is broken.,Medium
Reporting an issue: wardrobe shelf has collapsed in the hostel block.,Medium
Wardrobe shelf has collapsed in the hostel block.,Medium
Complaint: bed frame is wobbly in the hostel block.,Medium
Please report: bed frame is wobbly in the hostel block.,Medium
Please report: chair backrest is loose.,Medium
Reporting an issue: chair backrest is loose in the hostel block.,Medium
Complaint: bed frame is wobbly near my room.,Medium
Please report: chair backrest is loose on my floor.,Medium
Kindly note: study table drawer is stuck near my room.,Medium
Complaint: mattress is badly damaged in the hostel block.,Medium
Reporting an issue: study table drawer is stuck on my floor.,Medium
Please report: chair backrest is loose in my room.,Medium
Kindly note: bed frame is wobbly on my floor.,Medium
Please report: chair backrest is loose in the hostel block.,Medium
Kindly note: chair backrest is loose.,Medium
Complaint: bed frame is wobbly in the hostel block.,Medium
Complaint: chair backrest is loose in the hostel block.,Medium
Wardrobe shelf has collapsed in the hostel block.,Medium
Complaint: chair leg is broken in my room.,Medium
Chair backrest is loose in my room.,Medium
Kindly note: mattress is badly damaged on my floor.,Medium
Kindly note: chair leg is broken in my room.,Medium
Kindly note: chair leg is broken near my room.,Medium
Reporting an issue: bed frame is wobbly in my room.,Medium
Please report: wardrobe shelf has collapsed in the hostel block.,Medium
Chair backrest is loose near my room.,Medium
Kindly note: wardrobe shelf has collapsed in the hostel block.,Medium
Kindly note: chair leg is broken in my room.,Medium
Please report: wardrobe shelf has collapsed on my floor.,Medium
Reporting an issue: bed frame is wobbly in my room.,Medium
Complaint: study table drawer is stuck in my room.,Medium
Please report: mattress is badly damaged in the hostel block.,Medium
Wardrobe shelf has collapsed near my room.,Medium
Kindly note: bed frame is wobbly in my room.,Medium
Kindly note: bed frame is wobbly.,Medium
Please report: wardrobe shelf has collapsed.,Medium
Reporting an issue: study table drawer is stuck.,Medium
Kindly note: chair backrest is loose near my room.,Medium
Kindly note: bed frame is wobbly.,Medium
Please report: bed frame is wobbly in my room.,Medium
Reporting an issue: chair leg is broken in my room.,Medium
Reporting an issue: bed frame is wobbly near my room.,Medium
Please report: study table drawer is stuck in my room.,Medium
Kindly note: study table drawer is stuck on my floor.,Medium
Reporting an issue: bed frame is wobbly near my room.,Medium
Chair backrest is loose.,Medium
Please report: wardrobe shelf has collapsed in the hostel block.,Medium
Mattress is badly damaged on my floor.,Medium
Study lamp stand is slightly wobbly near my room.,Low
Kindly note: wardrobe mirror has a small scratch.,Low
Kindly note: study lamp stand is slightly wobbly in the hostel block.,Low
Complaint: need an extra clothes hanger.,Low
Please report: need an extra pillow on my floor.,Low
Chair cushion is damaged in my room.,Low
Wardrobe mirror has a small scratch.,Low
Please report: need an extra pillow near my room.,Low
Reporting an issue: need an extra study table near my room.,Low
Please report: need an extra pillow.,Low
Kindly note: need an extra pillow.,Low
Chair cushion is damaged in my room.,Low
Wardrobe mirror has a small scratch in the hostel block.,Low
Complaint: need a replacement shelf near my room.,Low
Complaint: need an extra pillow near my room.,Low
Complaint: chair cushion is damaged.,Low
Reporting an issue: chair cushion is damaged.,Low
Chair cushion is damaged on my floor.,Low
Kindly note: chair cushion is damaged on my floor.,Low
Kindly note: chair cushion is damaged near my room.,Low
Need an extra clothes hanger near my room.,Low
Please report: wardrobe mirror has a small scratch in my room.,Low
Reporting an issue: study lamp stand is slightly wobbly on my floor.,Low
Kindly note: need a replacement shelf.,Low
Reporting an issue: study lamp stand is slightly wobbly in my room.,Low
Chair cushion is damaged in the hostel block.,Low
Reporting an issue: need an extra clothes hanger in the hostel block.,Low
Please report: need a replacement shelf on my floor.,Low
Reporting an issue: need an extra clothes hanger in my room.,Low
Please report: need an extra study table in the hostel block.,Low
Need an extra study table in my room.,Low
Study lamp stand is slightly wobbly in the hostel block.,Low
Reporting an issue: need an extra pillow.,Low
Need an extra pillow on my floor.,Low
Reporting an issue: need an extra study table near my room.,Low
Please report: need a replacement shelf in my room.,Low
Reporting an issue: need a replacement shelf.,Low
Complaint: need a replacement shelf near my room.,Low
Kindly note: wardrobe mirror has a small scratch in the hostel block.,Low
Reporting an issue: wardrobe mirror has a small scratch on my floor.,Low
Please report: need an extra clothes hanger.,Low
Please report: need an extra study table near my room.,Low
Kindly note: study lamp stand is slightly wobbly in my room.,Low
Complaint: need an extra clothes hanger near my room.,Low
Kindly note: study lamp stand is slightly wobbly near my room.,Low
Please report: chair cushion is damaged in the hostel block.,Low
Kindly note: study lamp stand is slightly wobbly in my room.,Low
Kindly note: need an extra study table.,Low
Reporting an issue: chair cushion is damaged.,Low
Complaint: wardrobe mirror has a small scratch in the hostel block.,Low
Reporting an issue: chair cushion is damaged on my floor.,Low
Complaint: wardrobe mirror has a small scratch in my room.,Low
Please report: need an extra clothes hanger in the hostel block.,Low
Complaint: need an extra study table in the hostel block.,Low
Complaint: chair cushion is damaged on my floor.,Low
Please report: chair cushion is damaged in the hostel block.,Low
Reporting an issue: study lamp stand is slightly wobbly in my room.,Low
Please report: need an extra study table in the hostel block.,Low
Please report: need an extra pillow near my room.,Low
Please report: chair cushion is damaged near my room.,Low
Kindly note: urgent assistance is needed in the hostel block on my floor.,High
Please report: urgent assistance is needed in the hostel block in the hostel block.,High
Complaint: medical emergency assistance is needed urgently near my room.,High
Kindly note: urgent assistance is needed in the hostel block.,High
Kindly note: students are locked out during a power outage on my floor.,High
Reporting an issue: warden is unreachable during an urgent situation in my room.,High
Complaint: students are locked out during a power outage on my floor.,High
Students are locked out during a power outage in the hostel block.,High
Please report: medical emergency assistance is needed urgently in the hostel block.,High
Kindly note: lost student is unable to access the hostel room near my room.,High
Warden is unreachable during an urgent situation in the hostel block.,High
Please report: medical emergency assistance is needed urgently in my room.,High
Kindly note: warden is unreachable during an urgent situation in my room.,High
Please report: hostel entrance is locked and students cannot enter on my floor.,High
Students are locked out during a power outage in my room.,High
Lost student is unable to access the hostel room near my room.,High
Please report: medical emergency assistance is needed urgently in the hostel block.,High
Complaint: students are locked out during a power outage.,High
Please report: urgent assistance is needed in the hostel block in the hostel block.,High
Please report: hostel entrance is locked and students cannot enter in the hostel block.,High
Please report: warden is unreachable during an urgent situation.,High
Please report: lost student is unable to access the hostel room in the hostel block.,High
Reporting an issue: warden is unreachable during an urgent situation.,High
Please report: urgent assistance is needed in the hostel block near my room.,High
Complaint: medical emergency assistance is needed urgently in my room.,High
Reporting an issue: medical emergency assistance is needed urgently in my room.,High
Reporting an issue: hostel entrance is locked and students cannot enter in the hostel block.,High
Kindly note: hostel entrance is locked and students cannot enter near my room.,High
Warden is unreachable during an urgent situation in my room.,High
Please report: medical emergency assistance is needed urgently.,High
Reporting an issue: hostel entrance is locked and students cannot enter in the hostel block.,High
Reporting an issue: hostel entrance is locked and students cannot enter.,High
Reporting an issue: medical emergency assistance is needed urgently in the hostel block.,High
Reporting an issue: warden is unreachable during an urgent situation.,High
Please report: medical emergency assistance is needed urgently in the hostel block.,High
Complaint: urgent assistance is needed in the hostel block in the hostel block.,High
Need help transferring to a different room in the hostel block.,Medium
Complaint: room key is missing near my room.,Medium
Reporting an issue: need clarification on hostel visiting hours.,Medium
Kindly note: room key is missing near my room.,Medium
Kindly note: need assistance with hostel room allocation in the hostel block.,Medium
Kindly note: hostel ID card needs to be reissued in my room.,Medium
Roommate dispute needs warden attention in the hostel block.,Medium
Reporting an issue: need assistance with hostel room allocation.,Medium
Please report: roommate dispute needs warden attention on my floor.,Medium
Need help transferring to a different room in my room.,Medium
Reporting an issue: roommate dispute needs warden attention on my floor.,Medium
Complaint: need clarification on hostel visiting hours in the hostel block.,Medium
Kindly note: need clarification on hostel visiting hours near my room.,Medium
Reporting an issue: hostel ID card needs to be reissued in the hostel block.,Medium
Kindly note: room key is missing in the hostel block.,Medium
Kindly note: hostel ID card needs to be reissued on my floor.,Medium
Complaint: need help transferring to a different room in my room.,Medium
Please report: roommate dispute needs warden attention near my room.,Medium
Please report: need assistance with hostel room allocation in the hostel block.,Medium
Reporting an issue: need help transferring to a different room in the hostel block.,Medium
Complaint: room key is missing.,Medium
Complaint: room key is missing in the hostel block.,Medium
Need assistance with hostel room allocation on my floor.,Medium
Need help transferring to a different room in the hostel block.,Medium
Complaint: roommate dispute needs warden attention near my room.,Medium
Reporting an issue: roommate dispute needs warden attention on my floor.,Medium
Please report: need assistance with hostel room allocation near my room.,Medium
Please report: need assistance with hostel room allocation in the hostel block.,Medium
Room key is missing in the hostel block.,Medium
Please report: need clarification on hostel visiting hours in the hostel block.,Medium
Roommate dispute needs warden attention on my floor.,Medium
Roommate dispute needs warden attention in my room.,Medium
Complaint: need help transferring to a different room on my floor.,Medium
Reporting an issue: hostel ID card needs to be reissued in my room.,Medium
Need assistance with hostel room allocation.,Medium
Reporting an issue: need help transferring to a different room in the hostel block.,Medium
Kindly note: need help transferring to a different room in my room.,Medium
Complaint: room key is missing near my room.,Medium
Kindly note: need assistance with hostel room allocation in my room.,Medium
Need clarification on hostel visiting hours in the hostel block.,Medium
Kindly note: need clarification on hostel visiting hours on my floor.,Medium
Kindly note: need clarification on hostel visiting hours in the hostel block.,Medium
Complaint: need help transferring to a different room near my room.,Medium
Please report: hostel ID card needs to be reissued on my floor.,Medium
Complaint: roommate dispute needs warden attention in the hostel block.,Medium
Hostel ID card needs to be reissued on my floor.,Medium
Please report: hostel ID card needs to be reissued in my room.,Medium
Kindly note: hostel ID card needs to be reissued in the hostel block.,Medium
Kindly note: need assistance with hostel room allocation in my room.,Medium
Complaint: need assistance with hostel room allocation on my floor.,Medium
Please report: need clarification on hostel visiting hours near my room.,Medium
Please report: need help transferring to a different room in the hostel block.,Medium
Please report: room key is missing near my room.,Medium
Please report: room key is missing on my floor.,Medium
Please report: room key is missing in my room.,Medium
Please report: need help transferring to a different room.,Medium
Complaint: need assistance with hostel room allocation in the hostel block.,Medium
Need clarification on hostel visiting hours near my room.,Medium
Kindly note: need clarification on hostel visiting hours near my room.,Medium
Complaint: need help transferring to a different room in my room.,Medium
Complaint: need information about hostel facilities in my room.,Low
Need an extra room key in the hostel block.,Low
Reporting an issue: need a new notice board update.,Low
Complaint: need information about hostel facilities in my room.,Low
Reporting an issue: please provide hostel rule information near my room.,Low
Would like a copy of the hostel handbook.,Low
Reporting an issue: need a new notice board update.,Low
Reporting an issue: need information about hostel facilities on my floor.,Low
Kindly note: need information about mess timings in my room.,Low
Reporting an issue: need a new notice board update on my floor.,Low
Complaint: need an extra room key near my room.,Low
Kindly note: need a new notice board update on my floor.,Low
Complaint: need information about hostel facilities in my room.,Low
Reporting an issue: need an extra room key in my room.,Low
Kindly note: would like a copy of the hostel handbook in my room.,Low
Complaint: need a new notice board update in my room.,Low
Please report: would like a copy of the hostel handbook near my room.,Low
